src_ip,dst_ip,dst_port,duration,n_pkts,n_bytes,pkts_per_sec,syn_ratio,ack_ratio,label
10.0.0.1,10.0.0.2,60354,0.0009534358978271484,6,924,6293.029257314329,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0011277198791503906,6,584,5320.470190274841,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60362,0.001119852066040039,6,1821,5357.850542899723,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0011510848999023438,6,554,5212.473902236951,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60364,0.0011439323425292969,6,1821,5245.065443934973,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0008714199066162109,6,594,6885.314363885089,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,60374,0.0008635520935058594,6,924,6948.046383213694,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009658336639404297,6,593,6212.249814860528,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45604,0.0009570121765136719,6,924,6269.512705530643,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0012202262878417969,6,554,4917.120750293083,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45612,0.0012116432189941406,6,1821,4951.952774498229,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0010912418365478516,6,583,5498.322918942539,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45622,0.0010831356048583984,6,924,5539.472595201409,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.001062154769897461,6,554,5648.894276094276,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45626,0.001056671142578125,6,1821,5678.209386281588,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.000942230224609375,6,597,6367.87044534413,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45634,0.0009338855743408203,6,924,6424.769977023232,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0008404254913330078,6,599,7139.24085106383,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45648,0.0008335113525390625,6,924,7198.462242562929,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0010983943939208984,6,562,5462.518775775993,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45658,0.0010864734649658203,6,924,5522.454246214615,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009756088256835938,6,597,6150.005865102639,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45664,0.0009589195251464844,6,924,6257.042267528593,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0010116100311279297,6,587,5931.139288239453,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45672,0.0010037422180175781,6,1821,5977.6304038004755,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0011060237884521484,6,587,5424.838111661996,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45680,0.0010995864868164062,6,1821,5456.596704249783,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0009076595306396484,6,590,6610.4081954294725,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45690,0.0008997917175292969,6,924,6668.20985691574,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0008757114410400391,6,581,6851.572011979309,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45694,0.0008699893951416016,6,924,6896.635790627569,0.16666666666666666,1.0,normal
10.0.0.2,10.0.0.1,8080,0.0008878707885742188,6,558,6757.740064446832,0.16666666666666666,0.8333333333333334,normal
10.0.0.1,10.0.0.2,45700,0.0008816719055175781,6,924,6805.252568956193,0.16666666666666666,1.0,normal
